epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3489,0.35047,3.03662,0.95303,0.62705,0.28863,0.47043,0.41584,0.41729,2.38368,0.97399,0.000270725,0.000270725,0.000270725
2,17.1729,0.3405,1.64328,0.97422,0.5782,0.9443,0.93727,0.86086,0.47263,1.01901,1.10212,0.000542963,0.000542963,0.000542963
3,23.2025,0.329,0.80019,0.96504,0.91571,0.9795,0.99357,0.90304,0.47367,0.57581,1.11507,0.000809702,0.000809702,0.000809702
4,28.9958,0.34262,0.60529,0.96956,0.98049,0.99335,0.995,0.93467,0.41923,0.47927,1.03228,0.00080826,0.00080826,0.00080826
5,34.6434,0.34508,0.55409,0.96906,0.99177,0.99726,0.995,0.93436,0.41626,0.38043,1.04901,0.000800013,0.000800013,0.000800013
6,40.2896,0.33341,0.48422,0.96229,0.99258,0.99528,0.995,0.93424,0.42572,0.40166,1.06362,0.000791767,0.000791767,0.000791767
7,46.5565,0.32273,0.43926,0.9567,0.99376,0.99942,0.995,0.93107,0.40668,0.37523,1.02546,0.00078352,0.00078352,0.00078352
8,52.7272,0.31832,0.422,0.9509,0.99466,0.9994,0.995,0.93341,0.40719,0.33984,1.04016,0.000775273,0.000775273,0.000775273
9,58.462,0.34743,0.42498,0.97496,0.99385,0.99575,0.995,0.93163,0.40711,0.3579,1.03037,0.000767026,0.000767026,0.000767026
10,64.3746,0.32438,0.40795,0.95891,0.99336,0.99823,0.995,0.91573,0.46333,0.37252,1.0604,0.00075878,0.00075878,0.00075878
11,70.2557,0.31431,0.38267,0.94988,0.99663,1,0.995,0.93348,0.41341,0.32391,1.05646,0.000750533,0.000750533,0.000750533
12,75.9805,0.30945,0.37136,0.94943,0.99448,0.9993,0.995,0.92879,0.40604,0.32626,1.03502,0.000742286,0.000742286,0.000742286
13,81.9171,0.30596,0.37102,0.94585,0.99466,1,0.995,0.94512,0.3516,0.30131,1.00516,0.00073404,0.00073404,0.00073404
14,87.8572,0.30333,0.35728,0.94576,0.99667,1,0.995,0.94244,0.38159,0.28876,1.02107,0.000725793,0.000725793,0.000725793
15,93.8323,0.31828,0.36868,0.95047,0.9947,1,0.995,0.94172,0.40011,0.31484,1.04539,0.000717546,0.000717546,0.000717546
16,99.8393,0.3096,0.34938,0.94362,0.99248,1,0.995,0.94084,0.39174,0.31887,1.02718,0.000709299,0.000709299,0.000709299
17,105.74,0.30521,0.34321,0.94667,0.99601,1,0.995,0.91739,0.39983,0.28177,1.04604,0.000701053,0.000701053,0.000701053
18,111.51,0.29948,0.32561,0.94023,0.99625,1,0.995,0.9516,0.34793,0.30476,0.97448,0.000692806,0.000692806,0.000692806
19,117.166,0.29973,0.32365,0.94151,0.99379,1,0.995,0.95066,0.3371,0.26688,0.97649,0.000684559,0.000684559,0.000684559
