epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.32111,0.40072,2.93391,0.97805,0.99743,0.2,0.98607,0.97346,0.2204,2.46696,0.77524,0.00028886,0.00028886,0.00028886
2,13.4112,0.33388,2.13603,0.93076,0.91358,0.71918,0.99283,0.96763,0.26138,1.36748,0.80241,0.000583001,0.000583001,0.000583001
3,17.2591,0.3042,1.21599,0.92158,0.96506,0.99066,0.995,0.95155,0.31064,0.67112,0.84142,0.000871202,0.000871202,0.000871202
4,21.0513,0.30189,0.69199,0.92813,0.9942,1,0.995,0.942,0.3322,0.46611,0.87152,0.001078,0.001078,0.001078
5,24.9382,0.32351,0.55399,0.92281,0.99573,1,0.995,0.97168,0.25296,0.38344,0.79149,0.001067,0.001067,0.001067
6,28.9382,0.33024,0.49961,0.92808,0.99396,1,0.995,0.94612,0.34053,0.44835,0.85433,0.00105601,0.00105601,0.00105601
7,32.7035,0.32411,0.46351,0.91814,0.99508,1,0.995,0.97196,0.28183,0.3703,0.80289,0.00104501,0.00104501,0.00104501
8,36.7009,0.31408,0.42993,0.91631,0.99563,1,0.995,0.97088,0.24306,0.29453,0.79386,0.00103401,0.00103401,0.00103401
9,40.5632,0.30178,0.42877,0.91312,0.99584,1,0.995,0.95872,0.25486,0.29778,0.81218,0.00102301,0.00102301,0.00102301
10,44.4796,0.2996,0.43757,0.90266,0.99574,1,0.995,0.96228,0.29562,0.29865,0.83437,0.00101201,0.00101201,0.00101201
11,48.2352,0.29193,0.39568,0.90709,0.99571,1,0.995,0.95788,0.32206,0.30566,0.85626,0.00100101,0.00100101,0.00100101
12,52.2168,0.29047,0.38999,0.90874,0.99586,1,0.995,0.96686,0.28356,0.27406,0.81637,0.000990012,0.000990012,0.000990012
