epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.27964,0.84743,2.30772,1.21104,0.95365,0.4875,0.65808,0.57172,0.61926,2.0206,1.04669,0.00021671,0.00021671,0.00021671
2,12.2935,0.55947,2.07952,1.03762,0.83717,0.5,0.63751,0.56698,0.51146,1.80451,0.86747,0.000445634,0.000445634,0.000445634
3,14.8979,0.52862,1.80123,1.03976,0.5,0.48285,0.64715,0.59457,0.50211,1.90456,0.88371,0.000669937,0.000669937,0.000669937
4,17.4731,0.55861,1.33742,1.04652,0.79929,0.91032,0.97211,0.90074,0.42345,1.31744,0.80775,0.00088962,0.00088962,0.00088962
5,19.994,0.5242,1.00359,1.05863,0.99514,0.5,0.99143,0.88898,0.40478,1.17227,0.86216,0.00110468,0.00110468,0.00110468
6,22.6277,0.48307,0.78134,1.04054,0.89089,0.5,0.8633,0.77918,0.65267,1.62806,0.98821,0.00131512,0.00131512,0.00131512
7,25.1301,0.51877,0.73143,1.04574,0.9885,0.9983,0.995,0.94134,0.42029,0.55638,0.83948,0.00152094,0.00152094,0.00152094
8,27.7552,0.48442,0.62817,1.01625,0.97394,0.96715,0.99136,0.88795,0.46821,0.70095,0.88404,0.00155148,0.00155148,0.00155148
9,30.3184,0.52099,0.62444,1.0333,0.9862,1,0.995,0.95611,0.33256,0.5426,0.77833,0.00153497,0.00153497,0.00153497
10,32.8219,0.48269,0.58442,1.00521,0.96764,0.9625,0.98174,0.93273,0.33644,0.56068,0.76853,0.00151847,0.00151847,0.00151847
11,35.2262,0.42575,0.53453,0.9644,0.97796,0.99247,0.995,0.97811,0.32152,0.54601,0.77952,0.00150197,0.00150197,0.00150197
12,37.7362,0.42704,0.54929,0.97979,0.95537,0.9875,0.98953,0.96865,0.29471,0.52381,0.76594,0.00148546,0.00148546,0.00148546
13,40.2318,0.42803,0.51087,0.96135,0.95915,1,0.98595,0.93038,0.38168,0.51504,0.81674,0.00146896,0.00146896,0.00146896
14,42.9168,0.41542,0.51377,0.98048,0.99239,1,0.995,0.93751,0.43502,0.53021,0.83498,0.00145246,0.00145246,0.00145246
15,45.721,0.38658,0.48423,0.95934,0.99008,1,0.995,0.95925,0.3716,0.49527,0.80936,0.00143595,0.00143595,0.00143595
16,48.3733,0.40632,0.50878,0.97574,0.98557,1,0.995,0.94513,0.30854,0.37873,0.78899,0.00141945,0.00141945,0.00141945
17,50.8866,0.38526,0.45825,0.95343,0.9926,1,0.995,0.96458,0.31491,0.37376,0.75863,0.00140295,0.00140295,0.00140295
18,53.4756,0.4021,0.45591,0.95619,0.99608,1,0.995,0.96302,0.29569,0.369,0.73669,0.00138644,0.00138644,0.00138644
19,56.027,0.39309,0.44409,0.96957,0.99359,1,0.995,0.97369,0.27263,0.38659,0.73923,0.00136994,0.00136994,0.00136994
20,58.6378,0.39401,0.4686,0.95916,0.95186,1,0.96535,0.91897,0.36726,0.4151,0.80858,0.00135344,0.00135344,0.00135344
21,61.3237,0.39821,0.44329,0.9552,0.9626,1,0.97528,0.93797,0.35065,0.38039,0.78776,0.00133693,0.00133693,0.00133693
