epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.8041,0.34495,2.51876,0.96483,0.9982,0.25,0.52931,0.50093,0.28853,2.15514,0.82475,0.0002625,0.0002625,0.0002625
2,13.6506,0.31992,2.00148,0.94087,0.74039,0.50978,0.90666,0.86364,0.27045,1.48558,0.8365,0.000532179,0.000532179,0.000532179
3,17.1731,0.33296,1.25466,0.9386,0.84547,1,0.88444,0.85692,0.2625,0.62104,0.81976,0.000796412,0.000796412,0.000796412
4,20.6776,0.34958,0.79428,0.96048,0.99358,1,0.995,0.93715,0.31829,0.57746,0.85523,0.0010552,0.0010552,0.0010552
5,24.2408,0.35659,0.63465,0.94617,0.99023,1,0.995,0.94341,0.29378,0.59818,0.83975,0.0012005,0.0012005,0.0012005
6,28.0778,0.35695,0.57235,0.94729,0.99596,1,0.995,0.93728,0.32019,0.46423,0.8391,0.00118812,0.00118812,0.00118812
7,31.4254,0.35089,0.52641,0.93911,0.99389,1,0.995,0.94041,0.32562,0.51888,0.85479,0.00117575,0.00117575,0.00117575
8,35.017,0.3459,0.47787,0.9304,0.98962,1,0.995,0.93044,0.3343,0.51386,0.86287,0.00116337,0.00116337,0.00116337
9,38.2427,0.32743,0.47541,0.94436,0.99557,1,0.995,0.93238,0.35759,0.51408,0.92165,0.001151,0.001151,0.001151
10,41.4967,0.33068,0.46656,0.93189,0.88568,0.99854,0.995,0.94269,0.34395,0.57991,0.84953,0.00113863,0.00113863,0.00113863
11,44.7752,0.31565,0.43799,0.92216,0.99581,1,0.995,0.95506,0.29262,0.38905,0.82037,0.00112625,0.00112625,0.00112625
12,48.1051,0.31774,0.45048,0.92674,0.99587,1,0.995,0.9447,0.34809,0.41087,0.86501,0.00111388,0.00111388,0.00111388
13,51.2694,0.32476,0.43735,0.92891,0.99588,0.98825,0.995,0.93462,0.35888,0.4238,0.86439,0.0011015,0.0011015,0.0011015
14,54.6229,0.34742,0.43962,0.92694,0.9956,1,0.995,0.9551,0.29896,0.36849,0.82375,0.00108913,0.00108913,0.00108913
15,58.4093,0.31689,0.40547,0.93023,0.96893,1,0.995,0.94464,0.33167,0.43,0.8421,0.00107675,0.00107675,0.00107675
16,61.7415,0.32468,0.41445,0.9311,0.99405,1,0.995,0.94839,0.33961,0.36379,0.86435,0.00106437,0.00106437,0.00106437
17,65.0157,0.30913,0.40228,0.92254,0.97217,0.99082,0.995,0.95232,0.30541,0.39304,0.85859,0.001052,0.001052,0.001052
18,68.221,0.29408,0.38758,0.91103,0.99367,1,0.995,0.9597,0.29745,0.3803,0.83561,0.00103962,0.00103962,0.00103962
19,71.8726,0.30107,0.38469,0.91445,0.99667,1,0.995,0.9639,0.27478,0.34384,0.82501,0.00102725,0.00102725,0.00102725
20,75.4283,0.29744,0.37356,0.91994,0.99585,1,0.995,0.96437,0.26864,0.36478,0.83004,0.00101488,0.00101488,0.00101488
21,78.7278,0.30575,0.36733,0.92877,0.9967,1,0.995,0.9497,0.34619,0.35923,0.86577,0.0010025,0.0010025,0.0010025
22,82.3018,0.30442,0.37448,0.92584,0.99489,1,0.995,0.97635,0.21201,0.30117,0.79241,0.000990125,0.000990125,0.000990125
23,85.7543,0.29198,0.36077,0.91336,0.99681,1,0.995,0.94424,0.2819,0.33315,0.82918,0.00097775,0.00097775,0.00097775
24,88.9851,0.31063,0.36075,0.91663,0.99662,1,0.995,0.95908,0.24591,0.29922,0.80224,0.000965375,0.000965375,0.000965375
25,92.3799,0.30076,0.36184,0.91379,0.99679,1,0.995,0.94648,0.29304,0.3355,0.82297,0.000953,0.000953,0.000953
26,95.7885,0.29342,0.34378,0.91309,0.99626,1,0.995,0.96073,0.29741,0.30985,0.83945,0.000940625,0.000940625,0.000940625
27,99.1473,0.29811,0.35113,0.91506,0.99708,1,0.995,0.94779,0.31128,0.33998,0.85884,0.00092825,0.00092825,0.00092825
28,102.587,0.28323,0.34888,0.90712,0.99583,1,0.995,0.95467,0.29059,0.31383,0.83497,0.000915875,0.000915875,0.000915875
29,105.924,0.29272,0.3487,0.90896,0.99662,1,0.995,0.94096,0.31833,0.31046,0.84855,0.0009035,0.0009035,0.0009035
30,109.255,0.2782,0.33378,0.91237,0.99693,1,0.995,0.95434,0.30475,0.32165,0.83869,0.000891125,0.000891125,0.000891125
31,112.648,0.27908,0.32955,0.91014,0.99594,1,0.995,0.95304,0.28773,0.29514,0.82961,0.00087875,0.00087875,0.00087875
32,115.999,0.26875,0.32905,0.91095,0.99705,1,0.995,0.95401,0.26412,0.27679,0.80994,0.000866375,0.000866375,0.000866375
33,119.358,0.26881,0.32293,0.90781,0.99677,1,0.995,0.97206,0.24533,0.25872,0.79807,0.000854,0.000854,0.000854
34,122.753,0.27833,0.31737,0.91435,0.99565,1,0.995,0.96146,0.24521,0.26715,0.80109,0.000841625,0.000841625,0.000841625
35,126.027,0.2781,0.32486,0.90277,0.99647,1,0.995,0.96382,0.25983,0.30896,0.81312,0.00082925,0.00082925,0.00082925
36,129.417,0.27158,0.31448,0.90744,0.99715,1,0.995,0.96843,0.27597,0.28244,0.81248,0.000816875,0.000816875,0.000816875
37,132.791,0.28229,0.33199,0.90449,0.99687,1,0.995,0.97232,0.25901,0.25934,0.80514,0.0008045,0.0008045,0.0008045
38,136.129,0.26602,0.31765,0.90898,0.99666,1,0.995,0.97552,0.23679,0.26172,0.79415,0.000792125,0.000792125,0.000792125
39,139.51,0.27149,0.3124,0.90492,0.9949,1,0.995,0.97843,0.23037,0.2727,0.7927,0.00077975,0.00077975,0.00077975
40,143.072,0.2705,0.312,0.90519,0.99701,1,0.995,0.94933,0.24316,0.25313,0.80893,0.000767375,0.000767375,0.000767375
41,146.414,0.26572,0.30407,0.9174,0.99761,1,0.995,0.96842,0.24868,0.24657,0.81206,0.000755,0.000755,0.000755
42,149.91,0.25646,0.30022,0.90467,0.99707,1,0.995,0.97682,0.19738,0.23883,0.78613,0.000742625,0.000742625,0.000742625
43,153.37,0.26441,0.30855,0.90514,0.99692,1,0.995,0.96964,0.22259,0.23796,0.79352,0.00073025,0.00073025,0.00073025
44,156.748,0.27201,0.30224,0.91276,0.99666,1,0.995,0.97158,0.25199,0.24686,0.80842,0.000717875,0.000717875,0.000717875
45,160.161,0.27968,0.31242,0.91188,0.99724,1,0.995,0.96844,0.25287,0.24644,0.8114,0.0007055,0.0007055,0.0007055
46,163.763,0.2773,0.30605,0.91585,0.99718,1,0.995,0.95509,0.27285,0.26873,0.82263,0.000693125,0.000693125,0.000693125
47,167.07,0.26396,0.2985,0.90722,0.99665,1,0.995,0.95305,0.2744,0.25392,0.81678,0.00068075,0.00068075,0.00068075
48,170.564,0.25813,0.29983,0.89943,0.99668,1,0.995,0.97216,0.21856,0.23054,0.79548,0.000668375,0.000668375,0.000668375
49,173.985,0.24689,0.28726,0.89851,0.99703,1,0.995,0.97003,0.22013,0.22529,0.78959,0.000656,0.000656,0.000656
50,177.405,0.24381,0.28341,0.89901,0.99695,1,0.995,0.96474,0.24793,0.2168,0.81229,0.000643625,0.000643625,0.000643625
51,180.852,0.24424,0.27433,0.90686,0.99711,1,0.995,0.95407,0.27487,0.2325,0.82123,0.00063125,0.00063125,0.00063125
52,184.289,0.24938,0.28261,0.89741,0.99709,1,0.995,0.94827,0.31338,0.2465,0.8568,0.000618875,0.000618875,0.000618875
53,187.75,0.23983,0.2778,0.90412,0.99736,1,0.995,0.94355,0.29835,0.23972,0.83722,0.0006065,0.0006065,0.0006065
54,191.241,0.2424,0.28114,0.90351,0.99708,1,0.995,0.96187,0.27533,0.22706,0.81808,0.000594125,0.000594125,0.000594125
55,194.468,0.23539,0.26968,0.90213,0.99666,1,0.995,0.95292,0.28405,0.22506,0.83214,0.00058175,0.00058175,0.00058175
56,197.906,0.23707,0.26789,0.89429,0.997,1,0.995,0.96518,0.26942,0.22136,0.81053,0.000569375,0.000569375,0.000569375
57,201.305,0.24956,0.27399,0.91021,0.99671,1,0.995,0.97152,0.24641,0.21554,0.80406,0.000557,0.000557,0.000557
58,204.729,0.22628,0.26307,0.89496,0.9968,1,0.995,0.96286,0.23435,0.19584,0.79887,0.000544625,0.000544625,0.000544625
59,208.418,0.2339,0.26255,0.89492,0.99705,1,0.995,0.95465,0.26147,0.21584,0.8127,0.00053225,0.00053225,0.00053225
