epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.62335,0.53416,2.58527,1.04822,0.0036,1,0.5821,0.5358,0.38156,2.29958,0.81904,0.00024293,0.00024293,0.00024293
2,11.667,0.42211,2.16793,0.97734,0.61521,0.57464,0.73733,0.70345,0.32372,1.84992,0.79099,0.000495199,0.000495199,0.000495199
3,14.7146,0.43851,1.56964,0.99615,0.71761,0.77545,0.91636,0.76482,0.41069,1.58774,0.91103,0.000742374,0.000742374,0.000742374
4,17.677,0.45564,1.01668,1.0146,0.91459,0.98333,0.97984,0.91472,0.33487,0.89496,0.80345,0.000984457,0.000984457,0.000984457
5,20.5007,0.4701,0.79143,1.01908,0.93003,0.66667,0.90269,0.81397,0.52689,1.63833,0.94301,0.00122145,0.00122145,0.00122145
6,23.6849,0.4357,0.6901,0.99033,0.98388,1,0.995,0.92873,0.41537,0.67694,0.84512,0.00135826,0.00135826,0.00135826
7,26.7921,0.43418,0.61939,0.98237,0.89486,0.97423,0.995,0.86724,0.5049,1.34016,0.88942,0.00134412,0.00134412,0.00134412
8,29.7289,0.42367,0.58852,0.96583,0.99606,1,0.995,0.87963,0.49368,0.59818,0.92464,0.00132997,0.00132997,0.00132997
9,32.5215,0.43912,0.58107,0.97704,0.99286,1,0.995,0.90976,0.39661,0.5443,0.8305,0.00131582,0.00131582,0.00131582
10,35.2957,0.40831,0.56103,0.96781,0.92197,0.93598,0.995,0.92985,0.36317,0.68831,0.81239,0.00130168,0.00130168,0.00130168
11,37.9751,0.41772,0.54223,0.96166,0.89609,0.9943,0.98922,0.85753,0.51748,0.67514,0.91406,0.00128753,0.00128753,0.00128753
12,40.7902,0.40184,0.52754,0.958,0.9536,1,0.99459,0.88901,0.42556,0.544,0.83073,0.00127338,0.00127338,0.00127338
13,43.6887,0.39061,0.49202,0.95026,0.99543,1,0.995,0.92729,0.37629,0.44198,0.80528,0.00125923,0.00125923,0.00125923
14,46.5383,0.37584,0.47398,0.94069,0.98691,1,0.995,0.89986,0.40685,0.49351,0.83718,0.00124509,0.00124509,0.00124509
15,49.6939,0.34652,0.44622,0.93229,0.99658,1,0.995,0.96467,0.26554,0.344,0.75651,0.00123094,0.00123094,0.00123094
16,52.5239,0.36167,0.46326,0.94483,0.99649,1,0.995,0.9673,0.2326,0.33881,0.74602,0.00121679,0.00121679,0.00121679
17,55.2156,0.36459,0.47277,0.92685,0.99315,1,0.995,0.9507,0.30589,0.38076,0.76786,0.00120265,0.00120265,0.00120265
18,57.9457,0.36569,0.44853,0.93216,0.99585,1,0.995,0.94679,0.29407,0.33697,0.77254,0.0011885,0.0011885,0.0011885
19,60.7036,0.35236,0.42467,0.93654,0.99528,1,0.995,0.93887,0.29915,0.34981,0.78036,0.00117435,0.00117435,0.00117435
20,63.5149,0.35031,0.43074,0.93697,0.99698,1,0.995,0.94943,0.29817,0.37465,0.79596,0.00116021,0.00116021,0.00116021
21,66.1011,0.35625,0.4304,0.92694,0.99652,1,0.995,0.94862,0.34513,0.36641,0.80615,0.00114606,0.00114606,0.00114606
22,68.6789,0.34027,0.40252,0.93776,0.99641,1,0.995,0.90975,0.42762,0.42108,0.8696,0.00113191,0.00113191,0.00113191
23,71.2118,0.33221,0.38344,0.93047,0.99581,1,0.995,0.93031,0.32998,0.37147,0.80514,0.00111776,0.00111776,0.00111776
