epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.0103,0.74761,2.35192,1.13918,0.00496,1,0.97496,0.93364,0.1852,2.35923,0.68474,0.00016,0.00016,0.00016
2,9.96502,0.53057,2.05035,1.04534,0.00467,1,0.995,0.95412,0.25871,2.29627,0.69068,0.000336634,0.000336634,0.000336634
3,11.8356,0.51595,1.65632,1.01873,0.00371,1,0.995,0.8539,0.45391,2.15125,0.76507,0.000509704,0.000509704,0.000509704
4,13.583,0.57429,1.31496,1.05874,1,0.86651,0.995,0.92521,0.39257,1.77429,0.75522,0.00067921,0.00067921,0.00067921
5,15.3968,0.6051,1.00999,1.10263,0.99771,1,0.995,0.90396,0.46051,0.82467,0.87033,0.000845152,0.000845152,0.000845152
6,17.241,0.61646,0.84387,1.09205,0.722,0.875,0.8914,0.70425,0.687,1.48259,1.06294,0.00100753,0.00100753,0.00100753
7,19.0696,0.56177,0.75824,1.08222,0.99418,0.975,0.99451,0.87032,0.63285,1.12263,0.99849,0.00116634,0.00116634,0.00116634
8,21.1736,0.54911,0.7204,1.05267,0.99709,1,0.995,0.92744,0.44843,0.85274,0.80012,0.00132159,0.00132159,0.00132159
9,22.9917,0.55123,0.68913,1.05395,0.99746,1,0.995,0.95927,0.47198,0.78781,0.77591,0.00147328,0.00147328,0.00147328
10,24.665,0.52764,0.64064,1.03796,0.99774,1,0.995,0.90703,0.60003,0.81726,0.83966,0.0016214,0.0016214,0.0016214
11,26.4167,0.51958,0.61809,1.00527,0.99959,1,0.995,0.89519,0.59012,0.8468,0.84799,0.00176596,0.00176596,0.00176596
12,28.2313,0.4907,0.5633,1.00239,0.99779,1,0.995,0.92867,0.36769,0.57669,0.71375,0.0017822,0.0017822,0.0017822
13,29.9241,0.55273,0.59892,1.03167,0.99808,1,0.995,0.92652,0.39445,0.65376,0.73952,0.0017624,0.0017624,0.0017624
14,31.6884,0.51684,0.57548,0.997,0.99843,1,0.995,0.8967,0.45188,0.56877,0.78295,0.0017426,0.0017426,0.0017426
15,33.6197,0.5438,0.57635,1.0148,0.90634,1,0.95227,0.91745,0.3345,0.57259,0.71376,0.0017228,0.0017228,0.0017228
16,35.4319,0.54663,0.56516,1.02334,0.9941,1,0.995,0.92265,0.32764,0.65254,0.71816,0.001703,0.001703,0.001703
17,37.285,0.49269,0.53758,0.9879,0.99624,1,0.995,0.89858,0.45579,0.69469,0.77697,0.0016832,0.0016832,0.0016832
18,39.0969,0.49348,0.53815,0.98964,0.99465,1,0.995,0.93916,0.36136,0.59556,0.70875,0.0016634,0.0016634,0.0016634
19,40.893,0.4861,0.50782,0.9964,0.98972,1,0.995,0.94233,0.38074,0.66982,0.72954,0.0016436,0.0016436,0.0016436
20,42.8339,0.51192,0.50643,1.02177,0.99587,1,0.995,0.93967,0.37972,0.72559,0.73472,0.0016238,0.0016238,0.0016238
21,44.6181,0.46599,0.50001,0.97721,0.88813,1,0.99134,0.89246,0.52213,0.99416,0.81757,0.001604,0.001604,0.001604
22,46.3917,0.46088,0.47636,0.9832,0.94908,1,0.99451,0.80478,0.84101,1.00657,1.21128,0.0015842,0.0015842,0.0015842
23,48.4367,0.47207,0.47056,1.00206,0.99414,1,0.995,0.91009,0.51833,0.64311,0.92023,0.0015644,0.0015644,0.0015644
24,50.2691,0.48778,0.47111,0.97141,0.99645,1,0.995,0.8247,0.82637,0.66705,1.07959,0.0015446,0.0015446,0.0015446
25,52.0088,0.51072,0.49621,0.99434,0.99435,1,0.995,0.95284,0.33538,0.61131,0.68948,0.0015248,0.0015248,0.0015248
26,53.8947,0.48934,0.47566,0.99355,0.99805,1,0.995,0.94534,0.4108,0.50509,0.74353,0.001505,0.001505,0.001505
27,55.6427,0.43035,0.45183,0.95649,0.99844,1,0.995,0.94733,0.32034,0.4282,0.70804,0.0014852,0.0014852,0.0014852
28,57.5508,0.41218,0.43967,0.96359,0.99854,1,0.995,0.94058,0.33879,0.40239,0.70348,0.0014654,0.0014654,0.0014654
29,59.3629,0.41573,0.44816,0.96458,0.99867,1,0.995,0.91311,0.34063,0.3797,0.6896,0.0014456,0.0014456,0.0014456
30,61.092,0.40052,0.41341,0.95106,0.99857,1,0.995,0.94424,0.32262,0.39448,0.69338,0.0014258,0.0014258,0.0014258
31,62.8112,0.40966,0.42546,0.96884,0.99697,1,0.995,0.96773,0.28261,0.44652,0.67351,0.001406,0.001406,0.001406
32,64.6578,0.40557,0.41499,0.95708,0.99761,1,0.995,0.96015,0.33963,0.51611,0.71878,0.0013862,0.0013862,0.0013862
33,66.3407,0.4335,0.42148,0.9547,0.99774,1,0.995,0.94772,0.4126,0.44687,0.81045,0.0013664,0.0013664,0.0013664
34,68.055,0.41556,0.41723,0.95522,0.99808,1,0.995,0.96255,0.3699,0.40452,0.78702,0.0013466,0.0013466,0.0013466
35,69.8429,0.37323,0.40715,0.9359,0.99764,1,0.995,0.93847,0.39561,0.38399,0.7876,0.0013268,0.0013268,0.0013268
36,71.698,0.39631,0.39304,0.94899,0.99838,1,0.995,0.94208,0.36358,0.32648,0.77455,0.001307,0.001307,0.001307
37,73.462,0.39278,0.41118,0.94574,0.99764,1,0.995,0.96275,0.34054,0.34167,0.76554,0.0012872,0.0012872,0.0012872
38,75.2539,0.40487,0.41333,0.95414,0.99854,1,0.995,0.94466,0.375,0.31469,0.75007,0.0012674,0.0012674,0.0012674
39,76.993,0.42267,0.42025,0.97224,0.99828,1,0.995,0.91518,0.43611,0.31781,0.79353,0.0012476,0.0012476,0.0012476
40,78.7715,0.39877,0.40174,0.94737,0.98645,1,0.995,0.94636,0.35076,0.35281,0.71753,0.0012278,0.0012278,0.0012278
41,80.6326,0.42222,0.40546,0.94761,0.92019,1,0.99451,0.94898,0.40206,0.39358,0.7446,0.001208,0.001208,0.001208
42,82.3848,0.41267,0.40011,0.95463,0.96124,1,0.995,0.93754,0.3639,0.34414,0.75497,0.0011882,0.0011882,0.0011882
43,84.1727,0.39035,0.37345,0.95099,0.99755,1,0.995,0.96464,0.33421,0.33125,0.7111,0.0011684,0.0011684,0.0011684
44,86.0087,0.36014,0.3684,0.93895,0.99834,1,0.995,0.95499,0.29482,0.28731,0.69696,0.0011486,0.0011486,0.0011486
45,87.7487,0.35583,0.3772,0.93679,0.99844,1,0.995,0.9385,0.39061,0.32698,0.74096,0.0011288,0.0011288,0.0011288
46,89.5588,0.32914,0.36469,0.92901,0.99857,1,0.995,0.94246,0.34587,0.29012,0.73071,0.001109,0.001109,0.001109
47,91.385,0.31944,0.36279,0.92664,0.99863,1,0.995,0.94477,0.34711,0.29319,0.74998,0.0010892,0.0010892,0.0010892
48,93.2389,0.32358,0.34447,0.93472,0.99866,1,0.995,0.90154,0.40108,0.29028,0.79698,0.0010694,0.0010694,0.0010694
49,95.0154,0.33022,0.35682,0.93124,0.99862,1,0.995,0.92819,0.34356,0.30344,0.76791,0.0010496,0.0010496,0.0010496
