epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0129,0.34147,2.64954,0.943,0.96084,0.50964,0.75506,0.68662,0.31351,2.02676,0.80443,0.0003,0.0003,0.0003
2,16.124,0.32589,1.63198,0.94822,0.87902,1,0.96635,0.83683,0.3907,0.96967,0.90351,0.000603961,0.000603961,0.000603961
3,20.9281,0.33368,0.80153,0.94446,0.92233,0.98113,0.995,0.88827,0.4144,0.59996,0.87159,0.000901784,0.000901784,0.000901784
4,25.5191,0.33813,0.5959,0.94385,0.98424,1,0.995,0.90691,0.37791,0.50063,0.87852,0.0009703,0.0009703,0.0009703
5,30.982,0.33292,0.52101,0.93754,0.97144,0.99633,0.995,0.935,0.32518,0.40217,0.84303,0.0009604,0.0009604,0.0009604
6,36.7664,0.31892,0.47635,0.93153,0.98884,0.99963,0.995,0.8901,0.42181,0.40051,0.94229,0.0009505,0.0009505,0.0009505
7,41.5076,0.32079,0.45858,0.93889,0.99427,1,0.995,0.92754,0.36491,0.38254,0.86333,0.0009406,0.0009406,0.0009406
8,45.9003,0.32953,0.44074,0.9433,0.99493,1,0.995,0.90784,0.39228,0.37041,0.90774,0.0009307,0.0009307,0.0009307
9,50.6676,0.30819,0.41711,0.92313,0.99645,1,0.995,0.93278,0.36403,0.34363,0.85789,0.0009208,0.0009208,0.0009208
10,55.2645,0.31753,0.41331,0.93091,0.99212,1,0.995,0.93632,0.37045,0.35976,0.85936,0.0009109,0.0009109,0.0009109
11,60.0453,0.31042,0.4017,0.92243,0.99095,1,0.995,0.93743,0.34447,0.30668,0.85957,0.000901,0.000901,0.000901
12,64.9411,0.32357,0.4004,0.93803,0.98537,1,0.995,0.92843,0.35664,0.32032,0.85689,0.0008911,0.0008911,0.0008911
13,69.688,0.29524,0.37872,0.91353,0.98362,0.99298,0.995,0.93294,0.31888,0.30391,0.84749,0.0008812,0.0008812,0.0008812
14,74.4194,0.28423,0.37098,0.91873,0.99243,0.99961,0.995,0.92374,0.35048,0.28125,0.8803,0.0008713,0.0008713,0.0008713
15,79.4466,0.29013,0.36971,0.91775,0.99566,1,0.995,0.95287,0.2904,0.26356,0.82074,0.0008614,0.0008614,0.0008614
16,84.4862,0.30657,0.37138,0.93422,0.9931,1,0.995,0.9373,0.30195,0.26972,0.82905,0.0008515,0.0008515,0.0008515
17,90.0511,0.29668,0.3499,0.92614,0.99156,0.99467,0.995,0.95023,0.28565,0.28797,0.82179,0.0008416,0.0008416,0.0008416
18,94.7839,0.29446,0.3532,0.92392,0.99258,1,0.995,0.94453,0.27358,0.25634,0.81474,0.0008317,0.0008317,0.0008317
19,99.832,0.28352,0.34227,0.9199,0.99588,1,0.995,0.92894,0.34676,0.27754,0.88204,0.0008218,0.0008218,0.0008218
