epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,253.409,0.24847,0.25473,0.92268,0.99541,1,0.995,0.96357,0.26064,0.21806,0.84153,0.000522039,0.000522039,0.000522039
45,259.048,0.2546,0.26057,0.91952,0.9945,1,0.995,0.95619,0.28044,0.22248,0.84772,0.00051304,0.00051304,0.00051304
46,265.055,0.24855,0.26229,0.91844,0.99567,1,0.995,0.96262,0.27011,0.21022,0.8491,0.00050404,0.00050404,0.00050404
47,271.066,0.2471,0.25174,0.90779,0.99594,1,0.995,0.95465,0.26393,0.22572,0.83655,0.000495041,0.000495041,0.000495041
48,277.101,0.24518,0.26567,0.91665,0.9964,1,0.995,0.95586,0.24281,0.19812,0.82656,0.000486042,0.000486042,0.000486042
49,282.962,0.23953,0.25643,0.911,0.99689,1,0.995,0.95931,0.25985,0.21323,0.83606,0.000477043,0.000477043,0.000477043
50,287.994,0.24802,0.25761,0.9209,0.99652,1,0.995,0.95435,0.26716,0.21667,0.84587,0.000468044,0.000468044,0.000468044
51,293.262,0.23817,0.25225,0.92559,0.99637,1,0.995,0.95192,0.30088,0.23982,0.86794,0.000459045,0.000459045,0.000459045
52,299.166,0.24168,0.26094,0.91052,0.99548,1,0.995,0.95762,0.27622,0.23612,0.86275,0.000450046,0.000450046,0.000450046
53,304.589,0.23577,0.24412,0.90855,0.99288,1,0.995,0.95796,0.26523,0.24161,0.84944,0.000441047,0.000441047,0.000441047
54,310.348,0.24187,0.25568,0.9105,0.99463,1,0.995,0.96149,0.25724,0.23111,0.83515,0.000432048,0.000432048,0.000432048
55,315.875,0.23079,0.24487,0.90586,0.99596,1,0.995,0.9606,0.2443,0.2049,0.82896,0.000423049,0.000423049,0.000423049
56,321.435,0.23108,0.23647,0.90367,0.99684,1,0.995,0.96628,0.2457,0.20162,0.82973,0.000414049,0.000414049,0.000414049
57,327.075,0.2394,0.2432,0.91885,0.99651,1,0.995,0.97038,0.2423,0.21166,0.82405,0.00040505,0.00040505,0.00040505
58,332.182,0.23113,0.24073,0.90631,0.99551,1,0.995,0.97101,0.2637,0.22346,0.84081,0.000396051,0.000396051,0.000396051
59,337.408,0.23084,0.23707,0.9112,0.99516,1,0.995,0.96044,0.24715,0.21939,0.82848,0.000387052,0.000387052,0.000387052
60,343.25,0.23297,0.23957,0.91497,0.99552,1,0.995,0.95919,0.26017,0.21054,0.8337,0.000378053,0.000378053,0.000378053
61,349.02,0.23213,0.24413,0.91076,0.99625,1,0.995,0.95207,0.28047,0.21198,0.85452,0.000369054,0.000369054,0.000369054
62,355.364,0.22921,0.23888,0.90989,0.99663,1,0.995,0.96277,0.24119,0.20359,0.83073,0.000360055,0.000360055,0.000360055
63,361.253,0.21525,0.22384,0.89215,0.99594,1,0.995,0.96468,0.23628,0.19092,0.83036,0.000351056,0.000351056,0.000351056
64,367.52,0.22869,0.23137,0.91237,0.99632,1,0.995,0.96016,0.25751,0.19971,0.84142,0.000342057,0.000342057,0.000342057
65,372.912,0.2214,0.23371,0.90806,0.99655,1,0.995,0.96797,0.2378,0.20296,0.82684,0.000333058,0.000333058,0.000333058
66,378.684,0.21394,0.22204,0.90715,0.99652,1,0.995,0.9629,0.2498,0.20344,0.83092,0.000324058,0.000324058,0.000324058
67,384.766,0.2221,0.23018,0.90396,0.99651,1,0.995,0.95734,0.24451,0.19228,0.82924,0.000315059,0.000315059,0.000315059
68,390.836,0.21249,0.2199,0.90542,0.99591,1,0.995,0.96243,0.22208,0.18708,0.81596,0.00030606,0.00030606,0.00030606
69,396.95,0.21828,0.2261,0.90377,0.99682,1,0.995,0.95375,0.24724,0.19122,0.82757,0.000297061,0.000297061,0.000297061
70,402.871,0.22078,0.2284,0.91182,0.99607,1,0.995,0.95341,0.2518,0.19089,0.83157,0.000288062,0.000288062,0.000288062
71,408.743,0.2151,0.22217,0.90802,0.99661,1,0.995,0.96051,0.24736,0.20554,0.8317,0.000279063,0.000279063,0.000279063
72,414.607,0.21203,0.22355,0.89336,0.99568,1,0.995,0.9614,0.2348,0.19291,0.8197,0.000270064,0.000270064,0.000270064
73,420.021,0.20782,0.2136,0.90026,0.9966,1,0.995,0.95769,0.24676,0.20294,0.83534,0.000261065,0.000261065,0.000261065
74,425.788,0.22215,0.22733,0.90499,0.99617,1,0.995,0.96294,0.21977,0.1908,0.80851,0.000252066,0.000252066,0.000252066
75,431.05,0.21207,0.22147,0.90038,0.99661,1,0.995,0.9577,0.24607,0.19737,0.83041,0.000243067,0.000243067,0.000243067
76,437.24,0.20628,0.21466,0.89499,0.99685,1,0.995,0.96073,0.24117,0.19187,0.83353,0.000234068,0.000234068,0.000234068
77,443.446,0.21092,0.22009,0.90078,0.99695,1,0.995,0.96487,0.23838,0.18799,0.82672,0.000225068,0.000225068,0.000225068
78,448.922,0.21163,0.21821,0.89692,0.9965,1,0.995,0.96101,0.22482,0.18616,0.81397,0.000216069,0.000216069,0.000216069
79,454.626,0.20413,0.21469,0.89986,0.99642,1,0.995,0.96113,0.2382,0.18823,0.82631,0.00020707,0.00020707,0.00020707
80,460.676,0.20867,0.21712,0.9012,0.99673,1,0.995,0.95889,0.23453,0.18861,0.81969,0.000198071,0.000198071,0.000198071
81,466.323,0.20593,0.21558,0.90004,0.99686,1,0.995,0.96047,0.22842,0.18759,0.81756,0.000189072,0.000189072,0.000189072
82,471.816,0.19857,0.2058,0.8909,0.99651,1,0.995,0.95892,0.22426,0.17915,0.81505,0.000180073,0.000180073,0.000180073
83,477.041,0.20541,0.21429,0.90081,0.99682,1,0.995,0.95721,0.23962,0.18341,0.82499,0.000171074,0.000171074,0.000171074
