epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,144.897,0.3126,0.32469,0.91532,0.99681,1,0.995,0.97994,0.23459,0.25812,0.67362,0.000717875,0.000717875,0.000717875
45,147.924,0.33215,0.34247,0.91193,0.99683,1,0.995,0.96579,0.26711,0.23966,0.68967,0.0007055,0.0007055,0.0007055
46,151.201,0.34032,0.34842,0.91384,0.99704,1,0.995,0.96157,0.30499,0.26303,0.7372,0.000693125,0.000693125,0.000693125
47,154.246,0.32112,0.3203,0.91764,0.99692,1,0.995,0.96245,0.27804,0.24758,0.72386,0.00068075,0.00068075,0.00068075
48,157.332,0.31795,0.32358,0.91834,0.99688,1,0.995,0.96107,0.2723,0.23244,0.71839,0.000668375,0.000668375,0.000668375
49,160.418,0.29753,0.30562,0.90857,0.99686,1,0.995,0.96614,0.24205,0.23153,0.69508,0.000656,0.000656,0.000656
50,163.609,0.31189,0.32126,0.91623,0.99514,1,0.995,0.9642,0.2169,0.22766,0.69297,0.000643625,0.000643625,0.000643625
51,166.665,0.31131,0.31707,0.91487,0.99559,1,0.995,0.96984,0.23844,0.24991,0.68325,0.00063125,0.00063125,0.00063125
52,169.714,0.30134,0.30599,0.91566,0.996,1,0.995,0.95083,0.27526,0.26838,0.68011,0.000618875,0.000618875,0.000618875
53,172.571,0.30369,0.30684,0.92208,0.99603,1,0.995,0.94997,0.27072,0.24067,0.6922,0.0006065,0.0006065,0.0006065
54,175.516,0.29513,0.31492,0.91753,0.99587,1,0.995,0.96231,0.28511,0.23351,0.70146,0.000594125,0.000594125,0.000594125
55,178.418,0.29199,0.31785,0.91221,0.99611,1,0.995,0.97382,0.22197,0.21943,0.67735,0.00058175,0.00058175,0.00058175
56,181.508,0.29445,0.29914,0.90925,0.99677,1,0.995,0.96476,0.25999,0.22798,0.68774,0.000569375,0.000569375,0.000569375
57,184.47,0.29709,0.30445,0.91406,0.99711,1,0.995,0.97153,0.23389,0.2144,0.67552,0.000557,0.000557,0.000557
58,187.493,0.29864,0.29577,0.90128,0.99713,1,0.995,0.97193,0.19793,0.19736,0.66494,0.000544625,0.000544625,0.000544625
59,190.609,0.27633,0.29064,0.91353,0.99657,1,0.995,0.96969,0.23285,0.22966,0.67355,0.00053225,0.00053225,0.00053225
60,193.68,0.29598,0.3051,0.91007,0.99633,1,0.995,0.89996,0.3664,0.23216,0.90067,0.000519875,0.000519875,0.000519875
61,196.67,0.28443,0.28927,0.91067,0.99339,1,0.995,0.90701,0.33659,0.2263,0.88251,0.0005075,0.0005075,0.0005075
62,199.713,0.2894,0.30416,0.91481,0.99693,1,0.995,0.95576,0.26583,0.20479,0.71406,0.000495125,0.000495125,0.000495125
63,202.716,0.29002,0.28876,0.89899,0.99711,1,0.995,0.96341,0.25933,0.19187,0.71378,0.00048275,0.00048275,0.00048275
64,205.839,0.28594,0.29519,0.9103,0.99703,1,0.995,0.95923,0.26135,0.20691,0.72422,0.000470375,0.000470375,0.000470375
65,208.85,0.28486,0.27703,0.92147,0.99733,1,0.995,0.95608,0.28531,0.21758,0.72247,0.000458,0.000458,0.000458
66,212.047,0.27551,0.27366,0.90068,0.99626,1,0.995,0.95328,0.28031,0.19579,0.71062,0.000445625,0.000445625,0.000445625
67,215.054,0.25279,0.26169,0.91157,0.99608,1,0.995,0.95915,0.25238,0.19909,0.70594,0.00043325,0.00043325,0.00043325
68,217.97,0.26804,0.26617,0.90628,0.9965,1,0.995,0.9624,0.24545,0.19975,0.71728,0.000420875,0.000420875,0.000420875
69,220.865,0.26427,0.26966,0.90637,0.99678,1,0.995,0.96574,0.24093,0.20889,0.73086,0.0004085,0.0004085,0.0004085
70,223.871,0.25876,0.26882,0.90069,0.99688,1,0.995,0.9695,0.22847,0.19068,0.71089,0.000396125,0.000396125,0.000396125
71,226.677,0.2669,0.27005,0.9088,0.99682,1,0.995,0.96854,0.23337,0.19386,0.70035,0.00038375,0.00038375,0.00038375
72,229.528,0.27446,0.27342,0.90629,0.9965,1,0.995,0.97082,0.23447,0.19048,0.70284,0.000371375,0.000371375,0.000371375
73,232.463,0.24213,0.25221,0.89415,0.99608,1,0.995,0.97135,0.22925,0.17989,0.70143,0.000359,0.000359,0.000359
74,236.703,0.2505,0.25574,0.89855,0.99585,1,0.995,0.96994,0.2606,0.18445,0.7158,0.000346625,0.000346625,0.000346625
75,240.316,0.25313,0.25196,0.88891,0.9962,1,0.995,0.96781,0.2404,0.18101,0.69955,0.00033425,0.00033425,0.00033425
76,243.934,0.24711,0.25742,0.90928,0.99652,1,0.995,0.96366,0.23168,0.17198,0.68569,0.000321875,0.000321875,0.000321875
77,247.294,0.24419,0.24703,0.89116,0.99662,1,0.995,0.96896,0.22628,0.18277,0.69161,0.0003095,0.0003095,0.0003095
78,250.236,0.23732,0.24196,0.90368,0.99677,1,0.995,0.96789,0.21608,0.17863,0.69951,0.000297125,0.000297125,0.000297125
79,253.012,0.2331,0.24201,0.9032,0.99707,1,0.995,0.9671,0.26091,0.19776,0.7179,0.00028475,0.00028475,0.00028475
80,255.867,0.23321,0.2528,0.89731,0.9967,1,0.995,0.96608,0.23829,0.19317,0.69448,0.000272375,0.000272375,0.000272375
81,258.64,0.22665,0.23673,0.89164,0.9967,1,0.995,0.96773,0.24136,0.19817,0.69241,0.00026,0.00026,0.00026
82,261.679,0.2313,0.23811,0.89775,0.99692,1,0.995,0.96781,0.20071,0.16885,0.68366,0.000247625,0.000247625,0.000247625
83,264.568,0.23731,0.24066,0.90215,0.99694,1,0.995,0.97034,0.20722,0.16024,0.68397,0.00023525,0.00023525,0.00023525
